city,state,pop,query
Falmouth,MA,32517,Falmouth MA
Desert Hot Springs,CA,32512,Desert Hot Springs CA
Rochester,NH,32492,Rochester NH
North Olmsted,OH,32442,North Olmsted OH
Wheat Ridge,CO,32398,Wheat Ridge CO
Seaside,CA,32366,Seaside CA
OFallon,IL,32289,OFallon IL
Carlsbad,NM,32238,Carlsbad NM
Massillon,OH,32146,Massillon OH
Syracuse,UT,32141,Syracuse UT
San Pablo,CA,32127,San Pablo CA
Rome,NY,32127,Rome NY
Nacogdoches,TX,32118,Nacogdoches TX
Ithaca,NY,32108,Ithaca NY
Needham,MA,32091,Needham MA
Helena,MT,32091,Helena MT
Michigan City,IN,32075,Michigan City IN
Aiken,SC,32025,Aiken SC
Cleburne,TX,31999,Cleburne TX
Deptford Township,NJ,31977,Deptford Township NJ
Atwater,CA,31970,Atwater CA
Holladay,UT,31965,Holladay UT
Florence,KY,31946,Florence KY
Garner,NC,31935,Garner NC
South Kingstown,RI,31931,South Kingstown RI
Clearfield,UT,31909,Clearfield UT
Maryville,TN,31907,Maryville TN
Willingboro Township,NJ,31889,Willingboro Township NJ
Duluth,GA,31873,Duluth GA
Lawndale,CA,31807,Lawndale CA
Bangor,ME,31753,Bangor ME
Pekin,IL,31731,Pekin IL
Dania Beach,FL,31723,Dania Beach FL
Port Chester,NY,31693,Port Chester NY
Long Branch,NJ,31667,Long Branch NJ
Cornelius,NC,31650,Cornelius NC
Los Altos,CA,31625,Los Altos CA
Norwood,MA,31611,Norwood MA
Poughkeepsie,NY,31577,Poughkeepsie NY
Mundelein,IL,31560,Mundelein IL
Naugatuck,CT,31519,Naugatuck CT
Paso Robles,CA,31490,Paso Robles CA
SeaTac,WA,31454,SeaTac WA
Laramie,WY,31407,Laramie WY
Oak Ridge,TN,31402,Oak Ridge TN
Elizabethtown,KY,31394,Elizabethtown KY
Burlingame,CA,31386,Burlingame CA
Shawnee ,OK,31377,Shawnee  OK
Laguna Hills,CA,31374,Laguna Hills CA
New Bern ,NC,31346,New Bern  NC
Tewksbury,MA,31342,Tewksbury MA
La Verne,CA,31334,La Verne CA
Livingston,NJ,31330,Livingston NJ
North Royalton,OH,31322,North Royalton OH
Morrisville,NC,31278,Morrisville NC
Hopkinsville,KY,31180,Hopkinsville KY
Northport,AL,31125,Northport AL
Southlake,TX,31105,Southlake TX
Nicholasville,KY,31093,Nicholasville KY
West Bend,WI,31078,West Bend WI
Voorhees Township,NJ,31069,Voorhees Township NJ
Saratoga,CA,31051,Saratoga CA
Westfield,NJ,31032,Westfield NJ
West Warwick,RI,31012,West Warwick RI
Opelika,AL,30995,Opelika AL
North Andover,MA,30915,North Andover MA
Niles,IL,30912,Niles IL
Zionsville,IN,30903,Zionsville IN
Seguin,TX,30902,Seguin TX
Alamogordo,NM,30898,Alamogordo NM
LaGrange ,GA,30858,LaGrange  GA
Hutto,TX,30855,Hutto TX
North Attleborough,MA,30834,North Attleborough MA
Bowling Green,OH,30808,Bowling Green OH
North Chicago,IL,30759,North Chicago IL
San Carlos,CA,30722,San Carlos CA
Gurnee,IL,30706,Gurnee IL
Princeton,NJ,30681,Princeton NJ
Sanford ,NC,30678,Sanford  NC
Santa Paula,CA,30657,Santa Paula CA
Lawrenceville ,GA,30629,Lawrenceville  GA
Newark,DE,30601,Newark DE
Newington,CT,30536,Newington CT
North Tonawanda,NY,30496,North Tonawanda NY
Miami Lakes,FL,30467,Miami Lakes FL
Morristown,TN,30431,Morristown TN
Lafayette,CO,30411,Lafayette CO
Ballwin,MO,30404,Ballwin MO
Milford,MA,30379,Milford MA
Eagle,ID,30346,Eagle ID
Middletown,NY,30345,Middletown NY
Fridley,MN,30313,Fridley MN
Monterey,CA,30218,Monterey CA
Vernon,CT,30215,Vernon CT
Highland Park,IL,30176,Highland Park IL
Chamblee,GA,30164,Chamblee GA
Nutley,NJ,30143,Nutley NJ
New Smyrna Beach,FL,30142,New Smyrna Beach FL
Bella Vista,AK,30104,Bella Vista AK
Bella Vista,AR,30104,Bella Vista AR
Salem,NH,30089,Salem NH
Laurel,MD,30060,Laurel MD
Galesburg,IL,30052,Galesburg IL
East Windsor Township,NJ,30045,East Windsor Township NJ
Erie,CO,30038,Erie CO
East Palo Alto,CA,30034,East Palo Alto CA
Hazleton,PA,29963,Hazleton PA
Melrose,MA,29817,Melrose MA
Fountain,CO,29802,Fountain CO
Winter Park,FL,29795,Winter Park FL
Garfield Heights,OH,29781,Garfield Heights OH
Atascadero,CA,29773,Atascadero CA
Hobart,IN,29752,Hobart IN
Gloucester,MA,29729,Gloucester MA
McCandless,PA,29709,McCandless PA
Algonquin,IL,29700,Algonquin IL
Greenville,MS,29670,Greenville MS
Schererville,IN,29646,Schererville IN
Matthews,NC,29623,Matthews NC
Greenville,TX,29578,Greenville TX
Northampton,MA,29571,Northampton MA
Johnston,RI,29568,Johnston RI
Central,LA,29565,Central LA
Rahway,NJ,29556,Rahway NJ
Wellesley,MA,29550,Wellesley MA
Paragould,AK,29537,Paragould AK
Paragould,AR,29537,Paragould AR
Raytown,MO,29526,Raytown MO
Suisun City,CA,29518,Suisun City CA
West Windsor,NJ,29518,West Windsor NJ
Banning,CA,29505,Banning CA
Windsor,CT,29492,Windsor CT
Jacksonville,AK,29477,Jacksonville AK
Jacksonville,AR,29477,Jacksonville AR
Burbank,IL,29439,Burbank IL
Shaker Heights,OH,29439,Shaker Heights OH
Parkersburg ,WV,29403,Parkersburg  WV
Texarkana,AK,29387,Texarkana AK
Texarkana,AR,29387,Texarkana AR
Sun Prairie,WI,29364,Sun Prairie WI
Englewood,NJ,29308,Englewood NJ
Stoughton,MA,29281,Stoughton MA
Magna,UT,29251,Magna UT
Morgantown ,WV,29219,Morgantown  WV
Danville,IL,29204,Danville IL
Liberty ,MO,29149,Liberty  MO
Lansing,IL,29076,Lansing IL
Wentzville,MO,29070,Wentzville MO
McDonough ,GA,29051,McDonough  GA
Sachse,TX,29042,Sachse TX
Lake in the Hills,IL,28982,Lake in the Hills IL
Stockbridge,GA,28973,Stockbridge GA
Brownsburg,IN,28973,Brownsburg IN
Russellville,AK,28940,Russellville AK
Russellville,AR,28940,Russellville AR
Mount Olive Township,NJ,28886,Mount Olive Township NJ
Newburgh,NY,28856,Newburgh NY
Glen Ellyn,IL,28846,Glen Ellyn IL
Statesville ,NC,28844,Statesville  NC
West Springfield,MA,28835,West Springfield MA
Casselberry,FL,28794,Casselberry FL
Slidell,LA,28781,Slidell LA
Fredericksburg,VA,28757,Fredericksburg VA
Cheshire,CT,28733,Cheshire CT
Jamestown,NY,28712,Jamestown NY
Enterprise,AL,28711,Enterprise AL
Lathrop,CA,28701,Lathrop CA
Agawam,MA,28692,Agawam MA
Independence,KY,28676,Independence KY
Lacey Township,NJ,28655,Lacey Township NJ
Converse,TX,28643,Converse TX
Bridgewater,MA,28633,Bridgewater MA
Milton,MA,28630,Milton MA
Saugus,MA,28619,Saugus MA
Stafford Township,NJ,28617,Stafford Township NJ
Bixby,OK,28609,Bixby OK
Frankfort,KY,28602,Frankfort KY
Eagle Pass,TX,28596,Eagle Pass TX
New Iberia,LA,28555,New Iberia LA
Saratoga Springs,NY,28491,Saratoga Springs NY
Jeffersontown,KY,28474,Jeffersontown KY
Walnut,CA,28430,Walnut CA
Glen Cove,NY,28365,Glen Cove NY
Belmont,CA,28335,Belmont CA
Aberdeen ,SD,28324,Aberdeen  SD
Bergenfield,NJ,28321,Bergenfield NJ
Marion,IN,28310,Marion IN
Clayton,NC,28306,Clayton NC
Branford,CT,28273,Branford CT
Harrison,NY,28218,Harrison NY
Kent,OH,28215,Kent OH
Ramsey,MN,28202,Ramsey MN
Wilmette,IL,28170,Wilmette IL
Garden City ,KS,28151,Garden City  KS
Easton,PA,28127,Easton PA
New Milford,CT,28115,New Milford CT
Anderson,SC,28106,Anderson SC
Clinton,MS,28100,Clinton MS
Danvers,MA,28087,Danvers MA
Prior Lake,MN,28086,Prior Lake MN
Twentynine Palms,CA,28065,Twentynine Palms CA
Neptune Township,NJ,28061,Neptune Township NJ
Chaska ,MN,28047,Chaska  MN
Maple Valley,WA,28013,Maple Valley WA
Washington,UT,27993,Washington UT
Henderson,KY,27981,Henderson KY
Oakdale,MN,27974,Oakdale MN
Ridgecrest,CA,27959,Ridgecrest CA
Tualatin,OR,27942,Tualatin OR
Winchester,VA,27936,Winchester VA
East Haven,CT,27923,East Haven CT
Lake Jackson,TX,27879,Lake Jackson TX
Bernards Township,NJ,27830,Bernards Township NJ
Dodge City ,KS,27788,Dodge City  KS
Williamsport,PA,27754,Williamsport PA
Madison,MS,27747,Madison MS
Huntley,IL,27740,Huntley IL
North Kingstown,RI,27732,North Kingstown RI
Bluffton,SC,27716,Bluffton SC
Rockledge,FL,27678,Rockledge FL
Ocean Township,NJ,27672,Ocean Township NJ
Lemon Grove,CA,27627,Lemon Grove CA
Marshalltown,IA,27591,Marshalltown IA
Alvin,TX,27576,Alvin TX
Ossining,NY,27551,Ossining NY
Granite City,IL,27549,Granite City IL
Kirkwood,MO,27540,Kirkwood MO
Millville,NJ,27491,Millville NJ
Hamilton Township,NJ,27484,Hamilton Township NJ
Chicago Heights,IL,27480,Chicago Heights IL
Oak Forest,IL,27478,Oak Forest IL
Green,OH,27475,Green OH
Maryland Heights,MO,27472,Maryland Heights MO
Daphne,AL,27462,Daphne AL
West Linn,OR,27373,West Linn OR
New London,CT,27367,New London CT
Mason City,IA,27338,Mason City IA
Williston,ND,27332,Williston ND
Wethersfield,CT,27298,Wethersfield CT
